Tiempo,Temperatura (°C),Potencia Luz (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
0.0,22.57,0,0.0,0
0.0,22.62,0,0.0,0
0.394,22.67,0,0.0,0
0.71,22.67,0,0.0,0
1.02,22.68,0,0.0,0
1.344,22.7,0,0.0,0
1.672,22.72,0,0.0,0
1.98,22.72,0,0.0,0
2.286,22.63,0,0.0,0
2.601,22.73,0,0.0,0
2.601,22.72,0,0.0,0
2.911,22.7,0,0.0,0
3.23,22.65,0,0.0,0
3.548,22.67,0,0.0,0
3.875,22.7,0,0.0,0
4.19,22.75,0,0.0,0
4.503,22.73,0,0.0,0
4.823,22.67,0,0.0,0
5.141,22.55,0,0.0,0
5.471,22.48,0,0.0,0
5.784,22.6,0,0.0,0
6.104,22.62,0,0.0,0
6.407,22.62,0,0.0,0
6.731,22.6,0,0.0,0
7.041,22.48,0,0.0,0
7.356,22.48,0,0.0,0
7.658,22.6,0,0.0,0
7.97,22.6,0,0.0,0
8.288,22.5,0,0.0,0
8.288,22.28,0,0.0,0
8.599,22.33,0,0.0,0
8.91,22.28,0,0.0,0
9.235,22.35,0,0.0,0
9.56,22.58,0,0.0,0
9.871,22.58,0,0.0,0
10.181,22.62,0,0.0,0
10.491,22.68,0,0.0,0
10.808,22.72,0,0.0,0
11.119,22.7,0,0.0,0
11.43,22.53,0,0.0,0
11.74,22.5,0,0.0,0
12.051,22.4,0,0.0,0
12.367,22.45,0,0.0,0
12.685,22.65,0,0.0,0
12.998,23.04,0,0.0,0
13.302,23.1,0,0.0,0
13.614,23.07,0,0.0,0
13.926,22.95,0,0.0,0
14.239,22.9,0,0.0,0
14.557,22.6,0,0.0,0
14.863,22.67,0,0.0,0
15.183,22.52,0,0.0,0
15.497,22.55,0,0.0,0
15.497,22.57,0,0.0,0
15.806,22.62,0,0.0,0
16.115,22.73,0,0.0,0
16.435,22.75,0,0.0,0
16.736,22.75,0,0.0,0
17.049,22.67,0,0.0,0
17.376,22.7,0,0.0,0
17.696,22.6,0,0.0,0
18.013,22.67,0,0.0,0
18.329,22.73,0,0.0,0
18.651,22.62,0,0.0,0
18.959,22.65,0,0.0,0
19.281,22.7,0,0.0,0
19.595,22.6,0,0.0,0
19.913,22.8,0,0.0,0
20.221,22.67,0,0.0,0
20.548,22.53,0,0.0,0
20.869,22.42,0,0.0,0
21.175,22.37,0,0.0,0
21.491,22.53,0,0.0,0
21.491,22.43,0,0.0,0
21.803,22.7,0,0.0,0
22.113,22.72,0,0.0,0
22.437,22.65,0,0.0,0
22.748,22.79,0,0.0,0
23.061,22.75,0,0.0,0
23.364,22.75,0,0.0,0
