Tiempo,Temperatura (°C),Potencia Luz (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
0.001,22.32,0,0.0,0
0.002,22.47,0,0.0,0
0.583,22.33,0,0.0,0
0.893,21.9,0,0.0,0
1.204,21.97,0,0.0,0
1.205,21.72,0,0.0,0
1.529,21.7,0,0.0,0
1.84,21.6,0,0.0,0
2.151,21.83,0,0.0,0
2.46,21.87,0,0.0,0
2.775,21.75,0,0.0,0
3.085,21.75,0,0.0,0
3.394,21.88,0,0.0,0
3.703,21.97,0,0.0,0
4.031,22.07,0,0.0,0
4.341,22.0,0,0.0,0
4.652,21.68,0,0.0,0
4.962,21.6,0,0.0,0
5.273,21.67,0,0.0,0
5.587,21.85,0,0.0,0
5.897,21.92,0,0.0,0
6.207,22.07,0,0.0,0
6.517,22.12,0,0.0,0
6.843,21.95,0,0.0,0
7.154,22.0,0,0.0,0
7.462,21.87,0,0.0,0
7.773,21.83,0,0.0,0
8.083,21.87,0,0.0,0
8.394,21.95,0,0.0,0
8.717,21.83,0,0.0,0
8.718,21.75,0,0.0,0
9.028,21.82,0,0.0,0
9.339,21.77,0,0.0,0
9.652,21.93,0,0.0,0
9.962,21.97,0,0.0,0
10.272,21.97,0,0.0,0
10.585,22.1,0,0.0,0
10.898,22.1,0,0.0,0
11.209,22.12,0,0.0,0
11.522,22.12,0,0.0,0
11.83,22.08,0,0.0,0
12.141,22.02,0,0.0,0
12.454,22.0,0,0.0,0
12.779,22.05,0,0.0,0
13.092,22.02,0,0.0,0
13.403,22.13,0,0.0,0
13.716,22.18,0,0.0,0
14.026,21.87,0,0.0,0
14.34,22.0,0,0.0,0
14.653,21.87,0,0.0,0
14.968,22.02,0,0.0,0
15.283,22.23,0,0.0,0
15.596,22.12,0,0.0,0
15.922,22.33,0,0.0,0
15.923,22.12,0,0.0,0
16.219,22.03,0,0.0,0
16.546,21.78,0,0.0,0
16.857,21.83,0,0.0,0
17.168,21.82,0,0.0,0
17.478,21.9,0,0.0,0
17.79,21.97,0,0.0,0
18.102,21.88,0,0.0,0
18.415,21.85,0,0.0,0
18.725,21.82,0,0.0,0
19.036,21.78,0,0.0,0
19.347,21.85,0,0.0,0
19.659,21.88,0,0.0,0
19.971,22.07,0,0.0,0
20.283,22.5,0,0.0,0
20.608,22.33,0,0.0,0
20.919,22.52,0,0.0,0
