Tiempo,Temperatura (°C),Potencia Luz (%),Potencia Luz Aplicada (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
0.002,21.68,0,,0.0,0
0.003,21.95,0,,0.0,0
0.489,22.17,0,,0.0,0
0.491,21.92,0,,0.0,0
0.797,21.77,0,,0.0,0
1.113,21.68,0,,0.0,0
1.423,21.73,0,,0.0,0
1.735,21.7,0,,0.0,0
2.046,21.83,0,,0.0,0
2.357,21.92,0,,0.0,0
2.671,22.17,0,,0.0,0
2.984,22.2,0,,0.0,0
3.295,22.1,0,,0.0,0
3.609,21.83,0,,0.0,0
3.919,21.68,0,,0.0,0
4.232,21.75,0,,0.0,0
4.548,21.7,0,,0.0,0
4.861,21.83,0,,0.0,0
5.173,21.87,0,,0.0,0
5.487,22.12,0,,0.0,0
5.799,22.38,0,,0.0,0
6.108,22.03,0,,0.0,0
6.422,21.78,0,,0.0,0
6.734,21.68,0,,0.0,0
7.044,21.55,0,,0.0,0
7.356,21.57,0,,0.0,0
7.665,21.93,0,,0.0,0
7.978,21.7,0,,0.0,0
8.304,21.77,0,,0.0,0
8.617,21.87,0,,0.0,0
8.62,21.77,0,,0.0,0
8.928,22.07,0,,0.0,0
9.239,22.0,0,,0.0,0
9.552,22.5,0,,0.0,0
9.861,22.49,0,,0.0,0
10.174,22.42,0,,0.0,0
10.486,22.39,0,,0.0,0
10.797,21.87,0,,0.0,0
11.109,21.92,0,,0.0,0
11.422,21.87,0,,0.0,0
11.733,21.97,0,,0.0,0
12.045,21.93,0,,0.0,0
12.358,22.05,0,,0.0,0
12.669,21.95,0,,0.0,0
12.981,22.22,0,,0.0,0
13.293,21.89,0,,0.0,0
13.606,21.85,0,,0.0,0
13.917,21.92,0,,0.0,0
14.229,21.02,0,,0.0,0
14.54,21.45,0,,0.0,0
14.867,21.87,0,,0.0,0
15.178,21.99,0,,0.0,0
15.49,22.74,0,,0.0,0
15.802,22.49,0,,0.0,0
16.114,22.47,0,,0.0,0
16.425,22.35,0,,0.0,0
16.736,22.37,0,,0.0,0
16.739,22.64,0,,0.0,0
17.049,22.28,0,,0.0,0
17.36,22.13,0,,0.0,0
17.668,21.83,0,,0.0,0
17.982,22.05,0,,0.0,0
18.29,22.23,0,,0.0,0
18.603,22.03,0,,0.0,0
18.914,22.23,0,,0.0,0
19.229,21.83,0,,0.0,0
19.541,21.75,0,,0.0,0
19.852,21.9,0,,0.0,0
20.165,21.85,0,,0.0,0
20.491,21.73,0,,0.0,0
20.802,22.13,0,,0.0,0
21.114,22.03,0,,0.0,0
21.423,22.05,0,,0.0,0
21.736,21.9,0,,0.0,0
22.048,21.85,0,,0.0,0
22.36,21.97,0,,0.0,0
22.673,21.8,0,,0.0,0
22.985,22.02,0,,0.0,0
23.303,21.65,0,,0.0,0
23.602,21.35,0,,0.0,0
23.919,21.5,0,,0.0,0
24.238,21.6,0,,0.0,0
24.554,21.93,0,,0.0,0
24.853,22.27,0,,0.0,0
25.17,22.42,0,,0.0,0
25.172,22.28,0,,0.0,0
25.486,22.02,0,,0.0,0
25.797,22.28,0,,0.0,0
26.108,21.84,0,,0.0,0
26.419,21.47,0,,0.0,0
26.729,21.87,0,,0.0,0
27.041,21.9,0,,0.0,0
27.353,22.12,0,,0.0,0
