Tiempo,Temperatura (°C),Potencia Luz (%),Potencia Luz Aplicada (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
0.004,21.15,0,,0.0,0
0.006,21.33,0,,0.0,0
0.451,21.37,0,,0.0,0
0.76,21.08,0,,0.0,0
1.073,21.07,0,,0.0,0
1.384,21.08,0,,0.0,0
1.697,20.97,0,,0.0,0
2.008,20.95,0,,0.0,0
2.321,20.67,0,,0.0,0
2.634,20.78,0,,0.0,0
2.944,20.65,0,,0.0,0
3.272,20.85,0,,0.0,0
3.274,21.02,0,,0.0,0
3.599,20.93,0,,0.0,0
3.911,21.07,0,,0.0,0
4.224,20.65,0,,0.0,0
4.535,20.33,0,,0.0,0
4.847,20.65,0,,0.0,0
5.161,20.52,0,,0.0,0
5.472,20.5,0,,0.0,0
5.785,20.72,0,,0.0,0
6.097,20.45,0,,0.0,0
6.41,20.83,0,,0.0,0
6.718,20.75,0,,0.0,0
7.031,20.67,0,,0.0,0
7.339,20.32,0,,0.0,0
7.654,20.27,0,,0.0,0
7.969,20.3,0,,0.0,0
8.285,19.6,0,,0.0,0
8.584,20.22,0,,0.0,0
8.901,20.32,0,,0.0,0
9.213,20.62,0,,0.0,0
9.527,21.13,0,,0.0,0
9.84,21.86,0,,0.0,0
10.15,21.67,0,,0.0,0
10.463,21.2,0,,0.0,0
10.776,21.47,0,,0.0,0
11.087,20.82,0,,0.0,0
11.399,20.97,0,,0.0,0
11.401,20.85,0,,0.0,0
11.71,21.1,0,,0.0,0
12.036,21.02,0,,0.0,0
12.348,20.98,0,,0.0,0
12.659,21.02,0,,0.0,0
12.97,20.72,0,,0.0,0
13.281,20.58,0,,0.0,0
13.596,20.75,0,,0.0,0
13.908,20.65,0,,0.0,0
14.219,20.6,0,,0.0,0
14.532,20.9,0,,0.0,0
14.841,20.92,0,,0.0,0
15.152,20.77,0,,0.0,0
15.465,20.98,0,,0.0,0
15.78,20.78,0,,0.0,0
16.092,20.52,0,,0.0,0
16.406,20.23,0,,0.0,0
16.721,20.42,0,,0.0,0
17.037,20.3,0,,0.0,0
17.351,20.5,0,,0.0,0
17.666,20.77,0,,0.0,0
17.981,20.82,0,,0.0,0
18.296,21.15,0,,0.0,0
18.612,20.97,0,,0.0,0
18.912,20.68,0,,0.0,0
19.24,20.17,0,,0.0,0
19.242,19.77,0,,0.0,0
19.568,20.66,0,,0.0,0
19.896,20.32,0,,0.0,0
20.206,21.04,0,,0.0,0
20.519,21.51,0,,0.0,0
20.83,20.97,0,,0.0,0
21.144,20.98,0,,0.0,0
21.453,21.47,0,,0.0,0
21.763,21.35,0,,0.0,0
22.075,20.98,0,,0.0,0
22.386,21.02,0,,0.0,0
22.697,21.12,0,,0.0,0
23.009,20.55,0,,0.0,0
23.319,20.32,0,,0.0,0
23.632,20.24,0,,0.0,0
23.944,20.4,0,,0.0,0
24.271,19.84,0,,0.0,0
24.597,20.73,0,,0.0,0
24.91,20.85,0,,0.0,0
25.221,20.53,0,,0.0,0
25.531,21.13,0,,0.0,0
25.845,21.12,0,,0.0,0
25.847,20.58,0,,0.0,0
26.155,21.02,0,,0.0,0
26.467,20.73,0,,0.0,0
26.777,20.57,0,,0.0,0
27.09,21.07,0,,0.0,0
27.404,21.02,0,,0.0,0
27.715,20.82,0,,0.0,0
28.024,20.97,0,,0.0,0
28.334,20.73,0,,0.0,0
28.647,21.17,0,,0.0,0
28.974,21.32,0,,0.0,0
29.286,21.28,0,,0.0,0
29.599,20.83,0,,0.0,0
29.911,20.43,0,,0.0,0
30.224,20.18,0,,0.0,0
30.534,20.0,0,,0.0,0
30.844,20.55,0,,0.0,0
31.154,21.0,0,,0.0,0
31.465,21.0,0,,0.0,0
31.775,21.33,0,,0.0,0
32.087,21.5,0,,0.0,0
32.398,21.33,0,,0.0,0
32.71,21.28,0,,0.0,0
33.023,20.58,0,,0.0,0
33.336,21.74,0,,0.0,0
33.647,21.75,0,,0.0,0
33.962,21.67,0,,0.0,0
34.287,22.22,0,,0.0,0
34.289,21.69,0,,0.0,0
34.596,20.1,0,,0.0,0
34.908,20.07,0,,0.0,0
35.219,19.72,0,,0.0,0
35.531,20.49,0,,0.0,0
35.842,20.47,0,,0.0,0
36.154,21.43,0,,0.0,0
36.469,21.2,0,,0.0,0
36.78,20.45,0,,0.0,0
37.092,20.72,0,,0.0,0
37.403,20.73,0,,0.0,0
37.716,20.47,0,,0.0,0
38.028,20.72,0,,0.0,0
38.338,20.55,0,,0.0,0
38.647,20.38,0,,0.0,0
38.973,21.12,0,,0.0,0
39.284,20.87,0,,0.0,0
39.597,21.4,0,,0.0,0
39.91,21.05,0,,0.0,0
40.222,21.0,0,,0.0,0
40.531,21.45,0,,0.0,0
40.844,20.64,0,,0.0,0
41.156,21.15,0,,0.0,0
41.466,21.08,0,,0.0,0
41.779,20.77,0,,0.0,0
42.089,21.27,0,,0.0,0
42.399,20.88,0,,0.0,0
42.4,21.33,0,,0.0,0
42.713,21.12,0,,0.0,0
43.025,21.57,0,,0.0,0
43.336,21.87,0,,0.0,0
43.649,21.57,0,,0.0,0
43.958,21.65,0,,0.0,0
44.285,21.27,0,,0.0,0
44.597,21.37,0,,0.0,0
44.908,20.95,0,,0.0,0
45.221,21.08,0,,0.0,0
45.533,21.17,0,,0.0,0
45.844,21.68,0,,0.0,0
46.156,21.03,0,,0.0,0
46.467,20.78,0,,0.0,0
46.778,20.78,0,,0.0,0
47.091,20.5,0,,0.0,0
47.399,20.32,0,,0.0,0
47.724,20.47,0,,0.0,0
48.035,20.22,0,,0.0,0
48.35,20.23,0,,0.0,0
48.675,20.9,0,,0.0,0
48.984,20.53,0,,0.0,0
49.299,20.85,0,,0.0,0
49.613,21.1,0,,0.0,0
49.928,21.05,0,,0.0,0
49.929,21.3,0,,0.0,0
50.242,21.7,0,,0.0,0
50.556,21.3,0,,0.0,0
50.871,22.0,0,,0.0,0
51.187,22.49,0,,0.0,0
51.502,21.74,0,,0.0,0
51.815,21.24,0,,0.0,0
52.127,21.0,0,,0.0,0
52.436,19.27,0,,0.0,0
