Tiempo (s),Temperatura (°C),Potencia Luz (%),Potencia Luz Aplicada (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
49.359,25.95,,69.31,0.0,0
49.669,25.84,,72.48,0.0,0
49.976,25.88,,71.57,0.0,0
50.302,25.98,,68.61,0.0,0
50.609,26.55,,51.68,0.0,0
50.919,26.86,,42.47,0.0,0
51.232,26.62,,49.69,0.0,0
51.541,26.58,,50.75,0.0,0
51.851,26.55,,51.83,0.0,0
52.177,25.96,,69.63,60.0,0
52.488,26.25,,60.99,60.0,0
52.796,26.44,,55.4,60.0,0
53.106,26.25,,61.1,60.0,0
53.417,26.44,,55.51,0.0,0
53.42,26.34,,58.71,0.0,0
53.739,26.3,,59.81,0.0,0
54.048,26.44,,55.78,0.0,0
54.361,26.41,,56.87,0.0,0
54.67,26.53,,53.38,0.0,0
54.98,26.51,,53.94,0.0,0
55.289,26.51,,53.99,0.0,0
55.616,26.56,,52.49,0.0,0
55.93,26.34,,59.22,0.0,0
56.236,26.1,,66.56,0.0,0
56.546,26.25,,62.01,0.0,0
56.856,26.22,,63.12,0.0,0
57.165,26.48,,55.47,0.0,0
57.49,26.42,,57.07,0.0,0
57.803,26.49,,55.1,0.0,0
58.112,26.48,,55.67,30.0,0
58.424,26.27,,61.9,30.0,0
58.727,26.12,,66.61,30.0,0
59.052,26.08,,67.73,30.0,0
59.364,26.17,,65.34,30.0,0
59.674,26.1,,67.47,30.0,0
59.983,26.32,,60.87,30.0,0
60.292,26.17,,65.58,0.0,0
60.604,26.13,,66.69,0.0,0
60.918,26.24,,63.76,0.0,0
61.226,26.22,,64.35,0.0,0
61.554,26.2,,64.94,0.0,0
61.866,26.41,,58.84,0.0,0
61.867,26.18,,65.6,0.0,0
62.177,26.29,,62.67,30.0,0
62.491,26.2,,65.3,30.0,0
62.8,26.18,,65.9,30.0,0
63.11,26.37,,60.31,0.0,0
63.419,26.49,,56.77,0.0,0
63.735,26.77,,48.63,0.0,0
64.043,26.73,,49.69,0.0,0
64.354,26.54,,55.38,0.0,0
64.664,26.58,,54.4,0.0,0
64.991,26.35,,61.15,0.0,0
65.304,26.2,,65.91,60.0,0
65.614,26.42,,59.28,60.0,0
65.925,26.48,,57.79,60.0,0
66.236,26.42,,59.38,30.0,0
66.547,26.41,,59.96,30.0,0
66.858,26.48,,58.02,30.0,0
67.17,26.29,,63.74,0.0,0
67.483,26.53,,56.59,0.0,0
67.795,26.58,,55.09,0.0,0
68.106,26.56,,55.64,0.0,0
68.428,26.56,,55.74,0.0,0
68.741,26.56,,55.78,0.0,0
69.049,26.34,,62.53,0.0,0
69.36,26.49,,57.96,0.0,0
69.671,26.66,,52.9,0.0,0
69.98,26.41,,60.67,0.0,0
70.29,26.63,,54.02,0.0,0
70.616,26.42,,60.23,0.0,0
70.617,26.46,,59.25,0.0,0
70.926,26.3,,64.03,0.0,0
71.236,26.36,,62.54,0.0,0
71.544,26.54,,56.94,0.0,0
71.856,26.53,,57.51,0.0,0
72.167,26.51,,58.07,0.0,0
