Tiempo,Temperatura (°C),Potencia Luz (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
0.0,22.1,0,0.0,0
0.259,22.43,0,0.0,0
0.567,22.02,0,0.0,0
0.878,21.27,0,0.0,0
1.196,21.43,0,0.0,0
1.51,22.18,0,0.0,0
1.817,20.93,0,0.0,0
2.132,22.52,0,0.0,0
2.446,20.93,0,0.0,0
2.752,21.1,0,0.0,0
3.066,21.68,0,0.0,0
3.389,20.43,0,0.0,0
3.703,22.52,0,0.0,0
4.023,20.68,0,0.0,0
4.341,21.68,0,0.0,0
4.652,21.93,0,0.0,0
4.97,22.1,0,0.0,0
4.97,21.6,0,0.0,0
5.288,22.43,0,0.0,0
5.599,20.85,0,0.0,0
5.917,22.77,0,0.0,0
6.234,21.85,0,0.0,0
6.546,21.77,0,0.0,0
6.857,22.18,0,0.0,0
7.16,20.77,0,0.0,0
7.472,20.35,0,0.0,0
7.797,22.6,0,0.0,0
8.123,20.35,0,0.0,0
8.431,21.35,0,0.0,0
8.741,22.52,0,0.0,0
9.061,21.68,0,0.0,0
9.363,22.35,0,0.0,0
9.682,21.52,0,0.0,0
9.999,22.77,0,0.0,0
10.309,21.27,0,0.0,0
10.619,20.68,0,0.0,0
10.937,23.36,0,0.0,0
11.26,21.35,0,0.0,0
11.58,22.27,0,0.0,0
11.581,22.6,0,0.0,0
11.898,21.02,0,0.0,0
12.209,23.1,0,0.0,0
12.519,21.18,0,0.0,0
12.837,21.77,0,0.0,0
13.145,23.69,0,0.0,0
13.467,22.35,0,0.0,0
13.777,22.43,0,0.0,0
14.079,22.35,0,0.0,0
14.396,21.02,0,0.0,0
14.707,22.18,0,0.0,0
15.018,22.85,0,0.0,0
15.345,21.68,0,0.0,0
15.669,23.69,0,0.0,0
15.979,22.35,0,0.0,0
16.289,22.27,0,0.0,0
16.607,22.68,0,0.0,0
16.918,21.52,0,0.0,0
17.23,21.93,0,0.0,0
17.535,22.27,0,0.0,0
17.854,21.52,0,0.0,0
18.164,21.68,0,0.0,0
18.483,20.93,0,0.0,0
18.786,22.02,0,0.0,0
19.098,22.27,0,0.0,0
19.098,21.68,0,0.0,0
19.41,23.19,0,0.0,0
19.721,20.85,0,0.0,0
20.047,22.77,0,0.0,0
20.365,22.27,0,0.0,0
20.681,21.68,0,0.0,0
20.999,22.68,0,0.0,0
21.3,21.27,0,0.0,0
21.62,22.27,0,0.0,0
21.928,23.86,0,0.0,0
22.246,22.35,0,0.0,0
22.552,22.85,0,0.0,0
22.871,22.02,0,0.0,0
23.174,19.69,0,0.0,0
23.5,21.6,0,0.0,0
23.817,22.52,0,0.0,0
24.135,21.77,0,0.0,0
24.454,21.93,0,0.0,0
24.763,22.94,0,0.0,0
25.066,22.35,0,0.0,0
25.375,21.85,0,0.0,0
25.687,22.27,0,0.0,0
26.006,22.1,0,0.0,0
26.325,21.93,0,0.0,0
26.325,22.18,0,0.0,0
26.638,22.02,0,0.0,0
26.94,22.85,0,0.0,0
27.254,22.27,0,0.0,0
27.574,21.93,0,0.0,0
27.878,24.03,0,0.0,0
28.188,22.6,0,0.0,0
28.505,22.1,0,0.0,0
28.817,21.6,0,0.0,0
29.13,22.77,0,0.0,0
29.44,20.1,0,0.0,0
29.758,20.52,0,0.0,0
30.07,22.94,0,0.0,0
30.389,23.44,0,0.0,0
30.702,21.77,0,0.0,0
31.016,23.27,0,0.0,0
31.326,21.27,0,0.0,0
31.626,21.35,0,0.0,0
31.951,19.93,0,0.0,0
32.255,22.1,0,0.0,0
32.58,22.85,0,0.0,0
32.901,22.02,0,0.0,0
33.204,19.27,0,0.0,0
33.53,22.85,0,0.0,0
33.53,21.77,0,0.0,0
33.832,21.68,0,0.0,0
34.147,22.18,0,0.0,0
34.462,21.6,0,0.0,0
34.776,22.43,0,0.0,0
35.093,21.52,0,0.0,0
35.393,22.1,0,0.0,0
35.711,21.02,0,0.0,0
36.028,21.1,0,0.0,0
36.333,22.1,0,0.0,0
36.651,22.18,0,0.0,0
36.962,22.1,0,0.0,0
37.268,23.78,0,0.0,0
37.595,22.85,0,0.0,0
37.908,20.68,0,0.0,0
38.232,22.1,0,0.0,0
38.534,22.1,0,0.0,0
38.845,22.1,0,0.0,0
39.165,22.27,0,0.0,0
39.482,21.85,0,0.0,0
39.784,21.85,0,0.0,0
40.096,21.6,0,0.0,0
40.415,21.43,0,0.0,0
40.732,22.77,0,0.0,0
41.034,22.68,0,0.0,0
41.36,21.77,0,0.0,0
41.362,22.52,0,0.0,0
41.68,22.85,0,0.0,0
41.992,22.43,0,0.0,0
42.302,23.69,0,0.0,0
42.614,22.1,0,0.0,0
42.925,21.68,0,0.0,0
43.235,21.6,0,0.0,0
43.555,21.93,0,0.0,0
43.873,22.1,0,0.0,0
44.175,21.93,0,0.0,0
44.494,21.68,0,0.0,0
44.813,22.1,0,0.0,0
