Tiempo,Temperatura (°C),Potencia Luz (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
0.002,20.6,0,0.0,0
0.002,20.1,0,0.0,0
0.389,20.52,0,0.0,0
0.71,21.1,0,0.0,0
0.71,20.77,0,0.0,0
1.029,20.1,0,0.0,0
1.339,19.85,0,0.0,0
1.652,18.69,0,0.0,0
1.969,18.94,0,0.0,0
2.279,20.1,0,0.0,0
2.586,18.61,0,0.0,0
2.901,18.69,0,0.0,0
3.214,21.1,0,0.0,0
3.538,19.85,0,0.0,0
3.85,19.19,0,0.0,0
4.152,19.69,0,0.0,0
4.467,20.18,0,0.0,0
4.773,19.27,0,0.0,0
5.099,19.19,0,0.0,0
5.406,20.1,0,0.0,0
5.71,19.93,0,0.0,0
6.026,20.52,0,0.0,0
6.341,19.6,0,0.0,0
6.65,21.77,0,0.0,0
6.975,20.18,0,0.0,0
7.284,19.77,0,0.0,0
7.594,18.52,0,0.0,0
7.903,20.18,0,0.0,0
8.212,19.77,0,0.0,0
8.535,20.27,0,0.0,0
8.535,20.18,0,0.0,0
8.838,20.52,0,0.0,0
9.148,19.85,0,0.0,0
9.471,19.69,0,0.0,0
9.779,20.35,0,0.0,0
10.087,20.93,0,0.0,0
10.404,20.68,0,0.0,0
10.714,19.35,0,0.0,0
11.03,20.93,0,0.0,0
11.339,20.1,0,0.0,0
11.653,19.77,0,0.0,0
11.967,20.85,0,0.0,0
12.287,19.69,0,0.0,0
12.589,20.02,0,0.0,0
12.905,20.43,0,0.0,0
13.214,21.77,0,0.0,0
13.532,19.69,0,0.0,0
13.836,19.69,0,0.0,0
14.16,20.1,0,0.0,0
14.466,19.77,0,0.0,0
14.791,19.85,0,0.0,0
15.111,19.6,0,0.0,0
15.424,19.77,0,0.0,0
15.735,18.77,0,0.0,0
15.735,19.93,0,0.0,0
16.045,19.93,0,0.0,0
16.362,19.93,0,0.0,0
16.663,19.77,0,0.0,0
16.982,20.77,0,0.0,0
17.29,18.85,0,0.0,0
17.605,19.69,0,0.0,0
17.923,20.1,0,0.0,0
18.24,21.6,0,0.0,0
18.541,19.27,0,0.0,0
18.856,20.43,0,0.0,0
19.166,20.77,0,0.0,0
19.48,19.93,0,0.0,0
19.794,19.52,0,0.0,0
20.103,19.6,0,0.0,0
20.421,20.93,0,0.0,0
20.74,19.93,0,0.0,0
21.041,20.85,0,0.0,0
21.353,19.44,0,0.0,0
21.679,20.52,0,0.0,0
22.004,21.52,0,0.0,0
22.311,20.77,0,0.0,0
22.628,20.35,0,0.0,0
22.93,20.35,0,0.0,0
23.25,19.85,0,0.0,0
23.569,20.6,0,0.0,0
23.569,19.69,0,0.0,0
23.876,20.52,0,0.0,0
24.186,17.94,0,0.0,0
24.505,18.44,0,0.0,0
24.816,22.18,0,0.0,0
25.133,19.6,0,0.0,0
25.46,20.1,0,0.0,0
25.763,21.35,0,0.0,0
26.071,20.02,0,0.0,0
26.395,20.1,0,0.0,0
26.697,20.52,0,0.0,0
27.021,19.1,0,0.0,0
27.324,22.77,0,0.0,0
27.635,22.27,0,0.0,0
27.961,19.6,0,0.0,0
28.27,20.02,0,0.0,0
28.577,20.43,0,0.0,0
28.888,20.35,0,0.0,0
29.205,19.6,0,0.0,0
29.513,20.52,0,0.0,0
29.824,19.77,0,0.0,0
30.134,20.52,0,0.0,0
30.458,19.19,0,0.0,0
30.757,20.1,0,0.0,0
31.074,19.52,0,0.0,0
31.074,20.1,0,0.0,0
31.391,20.77,0,0.0,0
31.702,20.27,0,0.0,0
32.01,20.6,0,0.0,0
32.334,20.18,0,0.0,0
32.643,20.52,0,0.0,0
32.953,20.52,0,0.0,0
33.266,19.52,0,0.0,0
33.575,19.93,0,0.0,0
33.898,19.77,0,0.0,0
34.214,20.6,0,0.0,0
34.533,19.93,0,0.0,0
34.85,19.77,0,0.0,0
35.158,18.94,0,0.0,0
35.461,20.43,0,0.0,0
35.786,19.6,0,0.0,0
36.098,19.69,0,0.0,0
36.399,19.93,0,0.0,0
36.713,21.18,0,0.0,0
37.037,19.19,0,0.0,0
37.345,19.93,0,0.0,0
37.653,19.27,0,0.0,0
37.961,18.11,0,0.0,0
38.286,20.1,0,0.0,0
38.286,19.77,0,0.0,0
38.596,19.6,0,0.0,0
38.905,20.18,0,0.0,0
39.215,19.77,0,0.0,0
39.54,19.69,0,0.0,0
39.854,20.1,0,0.0,0
40.176,20.1,0,0.0,0
40.483,20.27,0,0.0,0
40.792,19.52,0,0.0,0
41.118,20.18,0,0.0,0
41.43,20.27,0,0.0,0
41.756,20.43,0,0.0,0
42.064,19.19,0,0.0,0
42.375,19.85,0,0.0,0
42.686,19.85,0,0.0,0
42.994,20.27,0,0.0,0
43.312,19.35,0,0.0,0
43.622,18.77,0,0.0,0
43.942,20.35,0,0.0,0
44.25,20.02,0,0.0,0
44.569,20.18,0,0.0,0
44.876,19.69,0,0.0,0
45.196,17.78,0,0.0,0
45.495,20.27,0,0.0,0
45.813,19.85,0,0.0,0
45.813,20.52,0,0.0,0
46.126,20.52,0,0.0,0
46.438,19.52,0,0.0,0
46.749,20.43,0,0.0,0
47.055,19.6,0,0.0,0
47.379,19.52,0,0.0,0
47.69,20.68,0,0.0,0
48.0,19.93,0,0.0,0
48.308,19.69,0,0.0,0
48.627,19.77,0,0.0,0
48.93,20.1,0,0.0,0
49.244,20.77,0,0.0,0
49.564,20.6,0,0.0,0
49.87,20.68,0,0.0,0
50.189,20.43,0,0.0,0
50.493,19.85,0,0.0,0
50.812,19.69,0,0.0,0
51.123,19.69,0,0.0,0
51.433,19.6,0,0.0,0
51.75,18.61,0,0.0,0
52.063,19.6,0,0.0,0
52.375,19.69,0,0.0,0
52.684,19.93,0,0.0,0
52.996,20.1,0,0.0,0
53.309,20.1,0,0.0,0
53.618,20.52,0,0.0,0
53.945,19.1,0,0.0,0
53.946,18.94,0,0.0,0
54.27,20.18,0,0.0,0
54.583,19.77,0,0.0,0
54.9,18.44,0,0.0,0
55.222,19.1,0,0.0,0
55.538,21.02,0,0.0,0
55.841,19.44,0,0.0,0
56.153,19.44,0,0.0,0
56.469,20.35,0,0.0,0
56.774,20.1,0,0.0,0
57.092,19.77,0,0.0,0
57.401,18.61,0,0.0,0
57.713,20.02,0,0.0,0
58.031,19.6,0,0.0,0
58.339,20.6,0,0.0,0
58.662,19.6,0,0.0,0
58.97,20.02,0,0.0,0
59.287,19.27,0,0.0,0
59.595,19.52,0,0.0,0
59.912,21.43,0,0.0,0
60.223,19.93,0,0.0,0
60.535,16.19,0,0.0,0
60.535,21.77,0,0.0,0
60.844,20.6,0,0.0,0
61.15,20.35,0,0.0,0
61.466,20.35,0,0.0,0
61.789,20.02,0,0.0,0
62.101,20.02,0,0.0,0
62.417,20.02,0,0.0,0
62.726,19.6,0,0.0,0
63.042,21.43,0,0.0,0
63.359,19.77,0,0.0,0
63.675,20.27,0,0.0,0
63.978,19.93,0,0.0,0
64.298,20.27,0,0.0,0
64.607,19.52,0,0.0,0
64.916,20.35,0,0.0,0
65.234,19.93,0,0.0,0
65.549,18.44,0,0.0,0
65.857,24.96,0,0.0,0
66.175,20.43,0,0.0,0
66.484,20.1,0,0.0,0
66.803,19.35,0,0.0,0
67.108,20.27,0,0.0,0
67.419,19.93,0,0.0,0
67.729,19.44,0,0.0,0
68.041,19.52,0,0.0,0
68.357,19.6,0,0.0,0
68.357,20.35,0,0.0,0
68.665,19.77,0,0.0,0
68.989,21.1,0,0.0,0
69.299,19.77,0,0.0,0
69.601,20.1,0,0.0,0
69.919,19.69,0,0.0,0
70.24,20.43,0,0.0,0
70.554,19.85,0,0.0,0
70.867,20.93,0,0.0,0
71.194,18.19,0,0.0,0
71.499,21.18,0,0.0,0
71.807,19.93,0,0.0,0
72.131,20.35,0,0.0,0
72.436,19.77,0,0.0,0
72.752,20.6,0,0.0,0
73.062,19.85,0,0.0,0
73.377,19.69,0,0.0,0
73.685,20.52,0,0.0,0
73.995,19.85,0,0.0,0
74.308,18.94,0,0.0,0
74.617,19.85,0,0.0,0
74.934,19.02,0,0.0,0
75.254,19.85,0,0.0,0
75.557,21.1,0,0.0,0
75.874,19.44,0,0.0,0
75.874,19.85,0,0.0,0
76.192,20.52,0,0.0,0
76.503,21.52,0,0.0,0
76.811,19.6,0,0.0,0
77.131,21.27,0,0.0,0
77.432,20.68,0,0.0,0
77.758,19.44,0,0.0,0
78.084,20.18,0,0.0,0
78.392,20.02,0,0.0,0
78.705,19.77,0,0.0,0
79.015,19.19,0,0.0,0
79.33,20.52,0,0.0,0
79.639,19.85,0,0.0,0
79.949,22.02,0,0.0,0
80.259,19.6,0,0.0,0
80.586,20.6,0,0.0,0
80.888,20.02,0,0.0,0
81.197,19.93,0,0.0,0
81.522,22.1,0,0.0,0
81.824,20.1,0,0.0,0
82.138,20.43,0,0.0,0
82.453,18.61,0,0.0,0
82.76,21.27,0,0.0,0
83.085,20.52,0,0.0,0
83.383,19.52,0,0.0,0
83.698,19.69,0,0.0,0
83.698,19.19,0,0.0,0
84.019,20.6,0,0.0,0
84.331,20.27,0,0.0,0
84.64,19.69,0,0.0,0
84.958,19.85,0,0.0,0
85.264,19.77,0,0.0,0
85.581,20.77,0,0.0,0
85.886,20.43,0,0.0,0
86.203,20.52,0,0.0,0
86.521,20.27,0,0.0,0
86.822,20.43,0,0.0,0
87.134,20.68,0,0.0,0
87.453,20.1,0,0.0,0
87.758,20.02,0,0.0,0
88.075,20.35,0,0.0,0
88.386,20.35,0,0.0,0
88.704,20.35,0,0.0,0
89.023,20.02,0,0.0,0
89.325,19.93,0,0.0,0
89.638,20.43,0,0.0,0
89.959,20.02,0,0.0,0
90.275,20.1,0,0.0,0
90.594,19.77,0,0.0,0
90.915,20.02,0,0.0,0
90.915,21.18,0,0.0,0
91.233,19.69,0,0.0,0
91.542,19.69,0,0.0,0
91.853,20.85,0,0.0,0
92.172,20.02,0,0.0,0
92.49,20.27,0,0.0,0
92.792,20.43,0,0.0,0
93.108,19.77,0,0.0,0
93.417,20.02,0,0.0,0
93.728,20.35,0,0.0,0
94.045,20.18,0,0.0,0
94.356,20.6,0,0.0,0
94.675,19.93,0,0.0,0
94.981,18.19,0,0.0,0
95.298,20.18,0,0.0,0
95.608,18.36,0,0.0,0
95.917,21.02,0,0.0,0
96.237,20.35,0,0.0,0
96.555,20.68,0,0.0,0
96.881,20.68,0,0.0,0
97.179,19.35,0,0.0,0
97.498,20.68,0,0.0,0
97.805,19.19,0,0.0,0
98.13,20.18,0,0.0,0
98.13,20.27,0,0.0,0
98.437,20.93,0,0.0,0
98.742,19.1,0,0.0,0
99.066,20.27,0,0.0,0
99.369,19.69,0,0.0,0
99.694,20.02,0,0.0,0
99.997,20.1,0,0.0,0
100.309,19.52,0,0.0,0
100.619,18.52,0,0.0,0
100.938,21.77,0,0.0,0
101.249,19.6,0,0.0,0
101.56,18.94,0,0.0,0
101.882,20.35,0,0.0,0
102.195,19.77,0,0.0,0
102.505,20.27,0,0.0,0
102.815,19.52,0,0.0,0
103.126,20.27,0,0.0,0
103.433,20.1,0,0.0,0
103.748,19.93,0,0.0,0
104.055,19.52,0,0.0,0
104.376,21.35,0,0.0,0
104.696,21.02,0,0.0,0
105.012,20.85,0,0.0,0
105.334,20.43,0,0.0,0
105.334,18.61,0,0.0,0
105.64,20.6,0,0.0,0
105.95,20.18,0,0.0,0
106.269,19.6,0,0.0,0
106.57,20.18,0,0.0,0
106.896,20.18,0,0.0,0
107.205,19.77,0,0.0,0
107.523,19.69,0,0.0,0
107.843,19.1,0,0.0,0
108.153,21.27,0,0.0,0
108.464,21.35,0,0.0,0
108.783,20.1,0,0.0,0
109.091,20.1,0,0.0,0
109.402,21.02,0,0.0,0
109.712,20.43,0,0.0,0
110.04,20.52,0,0.0,0
110.363,20.1,0,0.0,0
110.665,20.43,0,0.0,0
110.982,20.43,0,0.0,0
111.291,20.18,0,0.0,0
111.616,19.1,0,0.0,0
111.918,19.77,0,0.0,0
112.239,20.52,0,0.0,0
112.548,20.43,0,0.0,0
112.858,19.6,0,0.0,0
112.858,19.93,0,0.0,0
113.18,19.85,0,0.0,0
113.5,20.1,0,0.0,0
113.815,20.52,0,0.0,0
114.12,20.18,0,0.0,0
