Tiempo,Temperatura (°C),Potencia Luz (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
0.001,39.26,0,0.0,0
0.27,39.26,0,0.0,0
0.582,39.16,0,0.0,0
0.909,39.26,0,0.0,0
1.221,39.26,0,0.0,0
1.533,39.26,0,0.0,0
1.832,39.26,0,0.0,0
2.146,39.26,0,0.0,0
2.472,39.26,0,0.0,0
2.772,39.16,0,0.0,0
3.083,39.26,0,0.0,0
3.395,39.26,0,0.0,0
3.708,39.26,0,0.0,0
4.022,39.26,0,0.0,0
4.334,39.26,0,0.0,0
4.646,39.26,0,0.0,0
4.647,39.26,0,0.0,0
4.964,39.16,0,0.0,0
5.276,39.26,0,0.0,0
5.589,39.16,0,0.0,0
5.9,39.26,0,0.0,0
6.208,39.26,0,0.0,0
6.525,39.16,0,0.0,0
6.839,39.26,0,0.0,0
7.154,39.16,0,0.0,0
7.466,39.26,0,0.0,0
7.771,39.16,0,0.0,0
8.09,39.26,0,0.0,0
8.396,39.26,0,0.0,0
8.716,39.26,0,0.0,0
