Tiempo,Temperatura (°C),Potencia Luz (%),Potencia Luz Aplicada (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
0.121,22.12,0,,0.0,0
0.43,22.05,0,,0.0,0
0.742,22.0,0,,0.0,0
1.057,22.05,0,,0.0,0
1.378,22.03,0,,0.0,0
1.679,22.05,0,,0.0,0
1.997,22.13,0,,0.0,0
2.308,22.05,0,,0.0,0
2.616,22.05,0,,0.0,0
2.928,21.98,0,,0.0,0
3.254,21.98,0,,0.0,0
3.566,21.97,0,,0.0,0
3.878,21.97,0,,0.0,0
3.879,21.98,0,,0.0,0
4.192,21.9,0,,0.0,0
4.49,21.95,0,,0.0,0
4.814,21.95,0,,0.0,0
5.126,21.92,0,,0.0,0
5.439,21.95,0,,0.0,0
5.749,21.97,0,,0.0,0
6.058,21.95,0,,0.0,0
6.368,21.87,0,,0.0,0
6.678,21.85,0,,0.0,0
7.004,21.85,0,,0.0,0
7.316,21.87,0,,0.0,0
7.63,22.1,0,,0.0,0
7.938,22.15,0,,0.0,0
8.25,22.17,0,,0.0,0
8.56,22.12,0,,0.0,0
8.871,22.03,0,,0.0,0
9.184,21.93,0,,0.0,0
9.495,21.9,0,,0.0,0
9.806,21.9,0,,0.0,0
10.118,21.9,0,,0.0,0
10.428,21.9,0,,0.0,0
10.756,21.9,0,,0.0,0
11.081,21.92,0,,0.0,0
11.394,21.92,0,,0.0,0
11.707,21.9,0,,0.0,0
11.707,21.88,0,,0.0,0
12.018,21.92,0,,0.0,0
12.329,21.93,0,,0.0,0
12.642,21.93,0,,0.0,0
12.955,21.93,0,,0.0,0
13.268,21.95,0,,0.0,0
13.569,21.9,0,,0.0,0
13.884,21.92,0,,0.0,0
14.199,21.92,0,,0.0,0
14.515,21.9,0,,0.0,0
14.831,21.97,0,,0.0,0
15.132,21.9,0,,0.0,0
15.449,21.92,0,,0.0,0
15.767,21.97,0,,0.0,0
16.078,22.0,0,,0.0,0
16.386,22.03,0,,0.0,0
16.698,22.12,0,,0.0,0
17.008,22.1,0,,0.0,0
17.321,22.07,0,,0.0,0
17.632,22.05,0,,0.0,0
17.944,21.88,0,,0.0,0
18.267,21.85,0,,0.0,0
18.577,21.85,0,,0.0,0
18.886,21.82,0,,0.0,0
19.197,21.83,0,,0.0,0
19.506,21.97,0,,0.0,0
19.83,21.93,0,,0.0,0
19.831,21.92,0,,0.0,0
20.142,21.93,0,,0.0,0
20.454,21.92,0,,0.0,0
20.764,21.88,0,,0.0,0
21.075,21.92,0,,0.0,0
21.383,21.9,0,,0.0,0
21.708,21.9,0,,0.0,0
22.016,21.9,0,,0.0,0
22.329,22.0,0,,0.0,0
22.639,21.98,0,,0.0,0
22.95,22.0,0,,0.0,0
23.261,21.97,0,,0.0,0
23.57,21.97,0,,0.0,0
23.881,21.98,0,,0.0,0
24.208,21.97,0,,0.0,0
24.518,21.92,0,,0.0,0
24.83,21.88,0,,0.0,0
25.139,21.8,0,,0.0,0
25.447,21.85,0,,0.0,0
25.758,21.82,0,,0.0,0
26.068,21.8,0,,0.0,0
26.396,21.78,0,,0.0,0
26.706,21.72,0,,0.0,0
27.016,21.82,0,,0.0,0
27.326,21.87,0,,0.0,0
27.634,21.87,0,,0.0,0
27.944,21.87,0,,0.0,0
28.271,21.88,0,,0.0,0
28.272,21.77,0,,0.0,0
28.57,21.77,0,,0.0,0
28.895,21.78,0,,0.0,0
29.204,21.77,0,,0.0,0
29.515,21.78,0,,0.0,0
29.824,21.83,0,,0.0,0
30.134,21.82,0,,0.0,0
30.448,21.85,0,,0.0,0
30.758,21.92,0,,0.0,0
31.07,21.87,0,,0.0,0
31.382,21.92,0,,0.0,0
31.707,21.78,0,,0.0,0
32.021,21.77,0,,0.0,0
32.331,21.83,0,,0.0,0
32.644,21.7,0,,0.0,0
32.955,21.8,0,,0.0,0
33.257,21.82,0,,0.0,0
33.575,21.77,0,,0.0,0
33.885,21.78,0,,0.0,0
34.195,21.82,0,,0.0,0
34.509,21.87,0,,0.0,0
34.832,21.9,0,,0.0,0
35.146,21.92,0,,0.0,0
35.457,21.83,0,,0.0,0
35.756,21.72,0,,0.0,0
36.083,21.73,0,,0.0,0
36.084,21.75,0,,0.0,0
36.395,21.82,0,,0.0,0
36.705,21.82,0,,0.0,0
37.017,21.83,0,,0.0,0
37.328,21.8,0,,0.0,0
37.64,21.78,0,,0.0,0
37.951,21.82,0,,0.0,0
38.264,21.8,0,,0.0,0
38.576,21.82,0,,0.0,0
38.887,21.8,0,,0.0,0
39.198,21.77,0,,0.0,0
39.51,21.78,0,,0.0,0
39.821,21.78,0,,0.0,0
40.131,21.73,0,,0.0,0
40.458,21.75,0,,0.0,0
40.767,21.72,0,,0.0,0
41.078,21.77,0,,0.0,0
41.389,21.73,0,,0.0,0
41.699,21.82,0,,0.0,0
42.01,21.83,0,,0.0,0
42.321,21.7,0,,0.0,0
42.632,21.72,0,,0.0,0
42.958,21.77,0,,0.0,0
43.27,21.72,0,,0.0,0
43.579,21.82,0,,0.0,0
43.891,21.85,0,,0.0,0
44.206,21.83,0,,0.0,0
44.207,21.88,0,,0.0,0
44.519,21.9,0,,0.0,0
44.832,21.87,0,,0.0,0
45.141,21.78,0,,0.0,0
45.453,21.8,0,,0.0,0
45.764,21.7,,22.96,0.0,0
46.069,21.7,,100.0,0.0,0
46.386,21.73,,100.0,0.0,0
46.696,21.75,,100.0,0.0,0
47.006,21.8,,100.0,0.0,0
47.333,21.8,,100.0,0.0,0
47.644,21.78,,100.0,0.0,0
47.958,21.78,,100.0,0.0,0
48.266,21.78,,100.0,0.0,0
48.58,21.8,,100.0,0.0,0
48.893,21.83,,100.0,0.0,0
49.203,21.95,,100.0,0.0,0
49.513,21.97,,100.0,0.0,0
49.824,22.0,,100.0,0.0,0
50.132,21.97,,100.0,0.0,0
50.445,21.98,,100.0,0.0,0
50.758,22.02,,100.0,0.0,0
51.085,22.07,,100.0,0.0,0
51.394,22.08,,100.0,0.0,0
51.704,22.05,,100.0,0.0,0
52.009,22.02,,100.0,0.0,0
52.325,22.03,,100.0,0.0,0
52.636,22.15,,100.0,0.0,0
52.637,22.2,,100.0,0.0,0
52.947,22.23,,100.0,0.0,0
53.258,22.2,,100.0,0.0,0
53.584,22.12,,100.0,0.0,0
53.889,22.13,,100.0,0.0,0
54.204,22.15,,100.0,0.0,0
54.516,22.23,,100.0,0.0,0
54.83,22.38,,100.0,0.0,0
55.139,22.37,,100.0,0.0,0
55.454,22.38,,100.0,0.0,0
55.767,22.32,,100.0,0.0,0
56.078,22.27,,100.0,0.0,0
56.388,22.2,,100.0,0.0,0
56.7,22.18,,100.0,0.0,0
57.008,22.35,,100.0,0.0,0
57.318,22.4,,100.0,0.0,0
57.645,22.47,,100.0,0.0,0
57.955,22.6,,100.0,0.0,0
58.267,22.48,,100.0,0.0,0
58.578,22.52,,100.0,0.0,0
58.889,22.6,,100.0,0.0,0
59.2,22.53,,100.0,0.0,0
59.509,22.53,,100.0,0.0,0
59.822,22.52,,100.0,0.0,0
60.134,22.42,,100.0,0.0,0
60.447,22.47,,100.0,0.0,0
60.757,22.48,,100.0,0.0,0
60.758,22.5,,100.0,0.0,0
61.082,22.52,,100.0,0.0,0
61.393,22.57,,100.0,0.0,0
61.704,22.52,,100.0,0.0,0
62.014,22.47,,100.0,0.0,0
62.323,22.45,,100.0,0.0,0
62.635,22.43,,100.0,0.0,0
62.945,22.48,,100.0,0.0,0
63.27,22.57,,100.0,0.0,0
63.584,22.65,,100.0,0.0,0
63.91,22.67,,100.0,0.0,0
