Tiempo,Temperatura (°C),Potencia Luz (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
0.162,22.1,0,0.0,0
0.475,22.07,0,0.0,0
0.786,22.08,0,0.0,0
1.097,22.05,0,0.0,0
1.426,21.98,0,0.0,0
1.753,22.39,0,0.0,0
2.063,22.28,0,0.0,0
2.377,22.39,0,0.0,0
2.69,22.34,0,0.0,0
2.992,21.88,0,0.0,0
3.314,21.92,0,0.0,0
3.625,21.93,0,0.0,0
3.937,21.98,0,0.0,0
4.25,21.95,0,0.0,0
4.251,21.87,0,0.0,0
4.56,21.9,0,0.0,0
4.871,21.92,0,0.0,0
5.175,21.95,0,0.0,0
5.493,22.07,0,0.0,0
5.807,22.02,0,0.0,0
6.114,22.05,0,0.0,0
6.428,21.95,0,0.0,0
6.739,21.9,0,0.0,0
7.053,21.9,0,0.0,0
7.363,21.9,0,0.0,0
7.676,21.97,0,0.0,0
7.992,22.08,0,0.0,0
8.312,22.08,0,0.0,0
8.619,21.98,0,0.0,0
8.935,21.93,0,0.0,0
9.248,21.98,0,0.0,0
9.554,21.85,0,0.0,0
9.873,21.83,0,0.0,0
10.184,21.8,0,0.0,0
10.495,21.85,0,0.0,0
10.807,21.98,0,0.0,0
11.119,21.93,0,0.0,0
11.431,22.1,0,0.0,0
11.742,22.12,0,0.0,0
12.052,22.05,0,0.0,0
12.053,22.05,0,0.0,0
12.365,21.87,0,0.0,0
12.678,21.75,0,0.0,0
12.992,21.83,0,0.0,0
13.304,21.88,0,0.0,0
13.618,21.82,0,0.0,0
13.929,21.8,0,0.0,0
14.241,21.68,0,0.0,0
14.552,21.58,0,0.0,0
14.866,21.65,0,0.0,0
15.178,21.5,0,0.0,0
15.488,21.73,0,0.0,0
15.801,21.77,0,0.0,0
16.128,21.88,0,0.0,0
16.457,21.9,0,0.0,0
16.783,21.8,0,0.0,0
17.094,21.77,0,0.0,0
17.408,21.72,0,0.0,0
17.723,21.82,0,0.0,0
18.037,21.9,0,0.0,0
18.352,21.95,0,0.0,0
18.353,22.2,0,0.0,0
18.664,22.1,0,0.0,0
18.977,22.0,0,0.0,0
19.288,22.23,0,0.0,0
19.599,22.2,0,0.0,0
19.911,22.03,0,0.0,0
20.226,22.07,0,0.0,0
20.537,21.78,0,0.0,0
20.848,21.97,0,0.0,0
21.161,22.03,0,0.0,0
21.477,22.15,0,0.0,0
21.797,22.1,0,0.0,0
22.108,21.97,0,0.0,0
22.42,21.97,0,0.0,0
22.73,21.98,0,0.0,0
23.04,22.12,0,0.0,0
23.352,22.08,0,0.0,0
23.663,22.03,0,0.0,0
23.976,21.9,0,0.0,0
24.288,21.98,0,0.0,0
24.6,21.92,0,0.0,0
24.911,21.73,0,0.0,0
25.224,21.73,0,0.0,0
25.55,21.68,0,0.0,0
25.551,21.65,0,0.0,0
25.861,21.75,0,0.0,0
26.16,21.8,0,0.0,0
26.487,21.8,0,0.0,0
26.796,21.85,0,0.0,0
27.1,21.8,0,0.0,0
27.42,21.92,0,0.0,0
27.723,21.92,0,0.0,0
28.044,21.88,0,0.0,0
28.357,21.88,0,0.0,0
28.669,21.68,0,0.0,0
28.981,21.7,0,0.0,0
29.293,21.55,0,0.0,0
29.603,21.58,0,0.0,0
29.916,21.58,0,0.0,0
30.229,21.58,0,0.0,0
30.541,21.68,0,0.0,0
30.853,21.73,0,0.0,0
31.165,21.92,0,0.0,0
31.477,22.02,0,0.0,0
31.787,22.08,0,0.0,0
32.097,21.97,0,0.0,0
32.424,21.83,0,0.0,0
32.734,21.68,0,0.0,0
33.043,21.68,0,0.0,0
33.043,21.65,0,0.0,0
33.352,21.75,0,0.0,0
33.662,21.6,0,0.0,0
33.974,21.55,0,0.0,0
34.298,21.67,0,0.0,0
34.609,21.58,0,0.0,0
34.923,21.8,0,0.0,0
35.232,21.72,0,0.0,0
35.54,21.67,0,0.0,0
35.853,21.7,0,0.0,0
36.163,21.53,0,0.0,0
36.473,21.73,0,0.0,0
36.799,21.73,0,0.0,0
37.11,21.72,0,0.0,0
37.419,21.9,0,0.0,0
37.729,21.9,0,0.0,0
38.042,21.85,0,0.0,0
38.354,21.9,0,0.0,0
38.665,21.9,0,0.0,0
38.979,21.72,0,0.0,0
39.288,21.67,0,0.0,0
39.6,21.47,0,0.0,0
39.911,21.43,0,0.0,0
40.225,21.58,0,0.0,0
40.538,21.7,0,0.0,0
40.852,21.75,0,0.0,0
40.853,21.83,0,0.0,0
41.162,21.88,0,0.0,0
41.487,21.72,0,0.0,0
41.786,21.68,0,0.0,0
42.114,21.7,0,0.0,0
42.426,21.57,0,0.0,0
42.739,21.57,0,0.0,0
43.052,21.7,0,0.0,0
43.364,21.68,0,0.0,0
43.676,21.62,0,0.0,0
43.989,21.78,0,0.0,0
44.314,21.68,0,0.0,0
44.624,21.62,0,0.0,0
44.936,21.62,0,0.0,0
45.247,21.67,0,0.0,0
45.557,21.43,0,0.0,0
45.869,21.52,0,0.0,0
46.181,21.62,0,0.0,0
46.492,21.65,0,0.0,0
46.802,21.87,0,0.0,0
47.128,21.9,0,0.0,0
47.439,21.85,0,0.0,0
47.748,22.0,0,0.0,0
47.749,22.13,0,0.0,0
48.057,22.1,0,0.0,0
48.366,22.02,0,0.0,0
48.682,21.8,0,0.0,0
48.998,21.65,0,0.0,0
49.312,21.7,0,0.0,0
49.628,21.67,0,0.0,0
49.94,21.85,0,0.0,0
50.25,21.88,0,0.0,0
50.559,21.88,0,0.0,0
50.873,21.87,0,0.0,0
51.185,21.77,0,0.0,0
