Tiempo,Temperatura (°C),Potencia Luz (%),Potencia Luz Aplicada (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
0.005,23.51,0,,0.0,0
0.007,23.49,0,,0.0,0
0.521,23.34,0,,0.0,0
0.843,23.54,0,,0.0,0
0.845,23.44,0,,0.0,0
1.149,23.37,0,,0.0,0
1.475,23.52,0,,0.0,0
1.791,23.42,0,,0.0,0
2.107,23.24,0,,0.0,0
2.424,23.56,0,,0.0,0
2.728,23.37,0,,0.0,0
3.039,23.24,0,,0.0,0
3.358,23.52,0,,0.0,0
3.666,23.56,0,,0.0,0
3.977,23.42,0,,0.0,0
4.294,23.52,0,,0.0,0
4.612,23.1,0,,0.0,0
4.919,22.94,0,,0.0,0
5.234,22.77,0,,0.0,0
5.543,22.94,0,,0.0,0
5.86,23.17,0,,0.0,0
6.169,23.39,0,,0.0,0
6.48,23.78,0,,0.0,0
6.789,23.79,0,,0.0,0
7.115,23.78,0,,0.0,0
7.433,23.56,0,,0.0,0
7.434,23.31,0,,0.0,0
7.749,23.29,0,,0.0,0
8.058,23.1,0,,0.0,0
8.378,23.51,0,,0.0,0
8.68,23.57,0,,0.0,0
8.997,23.81,0,,0.0,0
9.306,24.01,0,,0.0,0
9.615,24.11,0,,0.0,0
9.934,24.06,0,,0.0,0
10.253,23.91,0,,0.0,0
10.555,24.01,0,,0.0,0
10.881,24.05,0,,0.0,0
11.188,23.99,0,,0.0,0
11.498,24.08,0,,0.0,0
11.809,23.89,0,,0.0,0
12.128,23.73,0,,0.0,0
12.428,23.74,0,,0.0,0
12.754,23.62,0,,0.0,0
13.065,23.56,0,,0.0,0
13.376,23.52,0,,0.0,0
13.694,23.51,0,,0.0,0
14.01,23.51,0,,0.0,0
14.32,23.46,0,,0.0,0
14.64,23.46,0,,0.0,0
14.64,23.51,0,,0.0,0
14.949,23.59,0,,0.0,0
15.262,23.56,0,,0.0,0
15.58,23.61,0,,0.0,0
15.89,23.56,0,,0.0,0
16.196,23.44,0,,0.0,0
16.511,23.44,0,,0.0,0
16.826,23.51,0,,0.0,0
17.132,23.66,0,,0.0,0
17.448,23.74,0,,0.0,0
17.764,23.79,0,,0.0,0
18.082,23.73,0,,0.0,0
18.39,23.61,0,,0.0,0
18.698,23.64,0,,0.0,0
19.009,23.51,0,,0.0,0
19.319,23.57,0,,0.0,0
19.644,23.62,0,,0.0,0
19.956,23.71,0,,0.0,0
20.263,23.79,0,,0.0,0
20.572,23.59,0,,0.0,0
20.882,23.66,0,,0.0,0
21.192,23.51,0,,0.0,0
21.511,23.69,0,,0.0,0
21.819,23.88,0,,0.0,0
22.146,24.05,0,,0.0,0
22.146,24.15,0,,0.0,0
22.471,23.96,0,,0.0,0
22.786,23.84,0,,0.0,0
23.112,23.69,0,,0.0,0
23.426,23.78,0,,0.0,0
23.726,23.69,0,,0.0,0
24.05,23.79,0,,0.0,0
24.35,23.89,0,,0.0,0
24.669,23.98,0,,0.0,0
24.977,23.91,0,,0.0,0
25.288,23.76,0,,0.0,0
25.612,23.61,0,,0.0,0
25.914,23.54,0,,0.0,0
26.228,23.74,0,,0.0,0
26.552,23.84,0,,0.0,0
26.878,23.73,0,,0.0,0
27.189,23.46,0,,0.0,0
27.492,23.2,0,,0.0,0
27.81,23.29,0,,0.0,0
28.128,23.74,0,,0.0,0
28.436,23.89,0,,0.0,0
28.438,23.99,0,,0.0,0
28.746,23.93,0,,0.0,0
29.068,23.78,0,,0.0,0
29.367,23.62,0,,0.0,0
29.688,23.47,0,,0.0,0
29.999,23.56,0,,0.0,0
30.31,23.59,0,,0.0,0
30.628,23.34,0,,0.0,0
30.938,23.52,0,,0.0,0
31.248,23.42,0,,0.0,0
31.564,23.17,0,,0.0,0
31.868,23.41,0,,0.0,0
32.186,23.36,0,,0.0,0
32.503,23.49,0,,0.0,0
32.811,23.47,0,,0.0,0
33.121,23.59,0,,0.0,0
33.43,23.64,0,,0.0,0
33.746,23.47,0,,0.0,0
34.059,23.73,0,,0.0,0
34.369,23.68,0,,0.0,0
34.685,23.91,0,,0.0,0
34.989,24.16,0,,0.0,0
35.308,24.38,0,,0.0,0
35.617,24.2,0,,0.0,0
35.942,23.78,0,,0.0,0
35.942,23.66,0,,0.0,0
36.265,23.44,0,,0.0,0
36.569,23.46,0,,0.0,0
36.887,23.78,0,,0.0,0
37.205,23.86,0,,0.0,0
37.516,23.89,0,,0.0,0
37.827,23.83,0,,0.0,0
38.137,23.69,0,,0.0,0
38.446,23.73,0,,0.0,0
38.771,23.78,0,,0.0,0
39.092,23.69,0,,0.0,0
39.401,23.62,0,,0.0,0
39.712,23.73,0,,0.0,0
40.02,23.49,0,,0.0,0
40.337,23.64,0,,0.0,0
40.654,23.62,0,,0.0,0
40.964,23.52,0,,0.0,0
41.274,23.42,0,,0.0,0
41.593,23.46,0,,0.0,0
41.903,23.54,0,,0.0,0
42.223,23.56,0,,0.0,0
42.543,23.88,0,,0.0,0
42.543,24.03,0,,0.0,0
42.852,23.79,0,,0.0,0
43.172,23.81,0,,0.0,0
43.474,23.68,0,,0.0,0
43.801,23.61,0,,0.0,0
44.13,23.74,0,,0.0,0
44.433,24.05,0,,0.0,0
44.743,24.08,0,,0.0,0
45.061,24.01,0,,0.0,0
45.364,23.91,0,,0.0,0
45.683,23.99,0,,0.0,0
46.001,23.88,0,,0.0,0
46.313,23.88,0,,0.0,0
46.625,23.96,0,,0.0,0
46.934,23.69,0,,0.0,0
47.251,23.95,0,,0.0,0
47.563,24.25,0,,0.0,0
47.872,24.18,0,,0.0,0
48.191,24.2,0,,0.0,0
48.5,23.89,0,,0.0,0
48.804,23.73,0,,0.0,0
49.117,23.67,0,,0.0,0
49.43,23.71,0,,0.0,0
49.746,23.66,0,,0.0,0
49.746,23.74,0,,0.0,0
50.052,23.86,0,,0.0,0
50.393,23.73,0,,0.0,0
50.698,23.89,0,,0.0,0
51.011,23.91,0,,0.0,0
51.33,23.74,0,,0.0,0
51.632,23.81,0,,0.0,0
51.948,23.81,0,,0.0,0
52.258,23.52,0,,0.0,0
52.577,23.41,0,,0.0,0
52.895,23.14,0,,0.0,0
53.206,23.17,0,,0.0,0
53.509,23.42,0,,0.0,0
53.827,23.73,0,,0.0,0
54.13,23.93,0,,0.0,0
54.446,24.0,0,,0.0,0
54.765,24.25,0,,0.0,0
