Tiempo,Temperatura (°C),Potencia Luz (%),Potencia Luz Aplicada (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
0.001,22.22,0,,0.0,0
0.002,22.28,0,,0.0,0
0.559,22.32,0,,0.0,0
0.872,22.23,0,,0.0,0
1.183,22.23,0,,0.0,0
1.493,22.18,0,,0.0,0
1.804,22.17,0,,0.0,0
1.804,22.28,0,,0.0,0
2.117,22.28,0,,0.0,0
2.428,22.28,0,,0.0,0
2.74,22.3,0,,0.0,0
3.051,22.27,0,,0.0,0
3.361,22.3,0,,0.0,0
3.673,22.28,0,,0.0,0
3.986,22.35,0,,0.0,0
4.297,22.3,0,,0.0,0
4.622,22.4,0,,0.0,0
4.935,22.42,0,,0.0,0
5.245,22.3,0,,0.0,0
5.558,22.23,0,,0.0,0
5.868,22.0,0,,0.0,0
6.179,21.75,0,,0.0,0
6.489,21.7,0,,0.0,0
6.801,21.75,0,,0.0,0
7.114,21.93,0,,0.0,0
7.428,22.27,0,,0.0,0
7.741,22.38,0,,0.0,0
8.053,22.37,0,,0.0,0
8.366,22.27,0,,0.0,0
8.677,22.2,0,,0.0,0
8.988,22.18,0,,0.0,0
9.296,22.3,0,,0.0,0
9.62,22.3,0,,0.0,0
9.933,22.1,0,,0.0,0
9.934,22.15,0,,0.0,0
10.244,22.02,0,,0.0,0
10.553,22.03,0,,0.0,0
10.866,22.12,0,,0.0,0
11.179,22.08,0,,0.0,0
11.491,22.0,0,,0.0,0
11.801,21.98,0,,0.0,0
12.11,21.98,0,,0.0,0
12.423,22.0,0,,0.0,0
12.735,22.07,0,,0.0,0
13.048,22.23,0,,0.0,0
13.359,22.3,0,,0.0,0
13.671,22.22,0,,0.0,0
13.997,22.2,0,,0.0,0
14.309,22.32,0,,0.0,0
14.62,22.23,0,,0.0,0
14.931,22.37,0,,0.0,0
15.241,22.38,0,,0.0,0
15.553,22.33,0,,0.0,0
15.866,22.28,0,,0.0,0
16.18,22.23,0,,0.0,0
16.496,22.3,0,,0.0,0
16.812,22.27,0,,0.0,0
17.129,22.3,0,,0.0,0
17.444,22.47,0,,0.0,0
17.755,22.35,0,,0.0,0
17.756,22.38,0,,0.0,0
18.066,22.3,0,,0.0,0
18.378,22.13,0,,0.0,0
18.689,22.18,0,,0.0,0
19.001,22.28,0,,0.0,0
19.313,22.33,0,,0.0,0
19.624,22.32,0,,0.0,0
19.949,22.37,0,,0.0,0
20.262,22.33,0,,0.0,0
20.573,22.23,0,,0.0,0
20.887,22.35,0,,0.0,0
21.199,22.22,0,,0.0,0
21.51,22.15,0,,0.0,0
21.821,22.3,0,,0.0,0
22.133,22.23,0,,0.0,0
22.445,22.27,0,,0.0,0
22.756,22.3,0,,0.0,0
23.069,22.48,0,,0.0,0
23.38,22.5,0,,0.0,0
23.69,22.45,0,,0.0,0
24.002,22.43,0,,0.0,0
24.314,22.08,0,,0.0,0
24.626,22.07,0,,0.0,0
24.939,22.08,0,,0.0,0
25.25,22.05,0,,0.0,0
25.561,22.22,0,,0.0,0
25.874,22.25,0,,0.0,0
26.2,22.08,0,,0.0,0
26.201,22.48,0,,0.0,0
26.511,22.5,0,,0.0,0
26.823,22.4,0,,0.0,0
27.135,22.38,0,,0.0,0
27.448,22.17,0,,0.0,0
27.761,21.93,0,,0.0,0
28.072,21.75,0,,0.0,0
28.386,21.98,0,,0.0,0
28.697,22.1,0,,0.0,0
29.008,22.37,0,,0.0,0
29.32,22.53,0,,0.0,0
29.631,22.4,0,,0.0,0
29.946,22.32,0,,0.0,0
30.256,22.12,0,,0.0,0
30.569,22.15,0,,0.0,0
30.881,22.15,0,,0.0,0
31.192,22.28,0,,0.0,0
31.503,22.38,0,,0.0,0
31.814,22.52,0,,0.0,0
32.126,22.55,0,,0.0,0
32.439,22.48,0,,0.0,0
32.751,22.37,0,,0.0,0
33.061,22.15,0,,0.0,0
33.374,22.1,0,,0.0,0
33.7,22.15,0,,0.0,0
34.01,22.27,0,,0.0,0
34.011,22.28,0,,0.0,0
34.321,22.3,0,,0.0,0
34.635,22.33,0,,0.0,0
34.946,22.37,0,,0.0,0
35.256,22.17,0,,0.0,0
35.566,22.12,0,,0.0,0
35.877,22.02,0,,0.0,0
36.188,21.9,0,,0.0,0
36.499,22.07,0,,0.0,0
36.827,22.15,0,,0.0,0
37.153,22.22,0,,0.0,0
37.466,22.2,0,,0.0,0
37.775,22.18,0,,0.0,0
38.089,22.18,0,,0.0,0
38.4,22.2,0,,0.0,0
38.709,22.0,0,,0.0,0
39.019,22.13,0,,0.0,0
39.332,22.2,0,,0.0,0
39.643,22.0,0,,0.0,0
39.954,22.35,0,,0.0,0
40.268,22.03,0,,0.0,0
40.58,21.95,0,,0.0,0
40.893,21.8,0,,0.0,0
41.203,21.87,0,,0.0,0
41.517,22.07,0,,0.0,0
41.829,22.15,0,,0.0,0
42.14,22.23,0,,0.0,0
42.14,22.18,0,,0.0,0
42.465,22.15,0,,0.0,0
42.775,22.13,0,,0.0,0
43.088,22.17,0,,0.0,0
43.401,22.18,0,,0.0,0
43.711,22.2,0,,0.0,0
44.022,22.28,0,,0.0,0
44.332,22.32,0,,0.0,0
44.645,22.32,0,,0.0,0
44.957,22.32,0,,0.0,0
45.267,22.3,0,,0.0,0
45.578,22.25,0,,0.0,0
45.904,22.28,0,,0.0,0
46.216,22.32,0,,0.0,0
46.528,22.4,0,,0.0,0
46.839,22.38,0,,0.0,0
47.151,22.42,0,,0.0,0
47.466,22.35,0,,0.0,0
47.766,22.28,0,,0.0,0
48.083,22.37,0,,0.0,0
48.4,22.32,0,,0.0,0
48.715,22.23,0,,0.0,0
49.027,22.25,0,,0.0,0
49.339,22.27,0,,0.0,0
49.65,22.3,0,,0.0,0
49.963,22.38,0,,0.0,0
49.964,22.53,0,,0.0,0
50.273,22.45,0,,0.0,0
50.588,22.42,0,,0.0,0
50.898,22.37,0,,0.0,0
51.212,22.3,0,,0.0,0
51.523,22.27,0,,0.0,0
51.835,22.25,0,,0.0,0
52.143,22.25,0,,0.0,0
52.454,22.17,0,,0.0,0
52.767,22.3,0,,0.0,0
53.079,22.33,0,,0.0,0
53.39,22.35,0,,0.0,0
53.715,22.42,0,,0.0,0
54.027,22.38,0,,0.0,0
54.336,22.22,0,,0.0,0
54.646,22.13,0,,0.0,0
54.957,22.05,0,,0.0,0
55.269,22.05,0,,0.0,0
55.578,22.1,0,,0.0,0
55.89,22.27,0,,0.0,0
56.203,22.33,0,,0.0,0
56.529,22.32,0,,0.0,0
56.841,22.18,0,,0.0,0
57.154,22.12,0,,0.0,0
57.465,22.28,0,,0.0,0
57.776,22.33,0,,0.0,0
58.087,22.4,0,,0.0,0
58.088,22.37,0,,0.0,0
58.401,22.3,0,,0.0,0
58.709,22.08,0,,0.0,0
59.021,22.08,0,,0.0,0
59.333,21.97,0,,0.0,0
59.644,21.93,0,,0.0,0
59.956,22.0,0,,0.0,0
60.266,22.03,0,,0.0,0
60.577,22.03,0,,0.0,0
60.905,22.0,0,,0.0,0
61.231,21.87,0,,0.0,0
61.542,21.97,0,,0.0,0
61.852,22.02,0,,0.0,0
62.164,22.12,0,,0.0,0
62.475,22.18,0,,0.0,0
62.787,22.23,0,,0.0,0
63.1,22.28,0,,0.0,0
63.411,22.3,0,,0.0,0
63.724,22.33,0,,0.0,0
64.034,22.32,0,,0.0,0
64.346,22.28,0,,0.0,0
64.659,22.27,0,,0.0,0
64.97,22.12,0,,0.0,0
65.282,22.02,0,,0.0,0
65.606,21.98,0,,0.0,0
65.916,21.95,0,,0.0,0
65.917,22.27,0,,0.0,0
66.226,22.42,0,,0.0,0
66.537,22.45,0,,0.0,0
66.849,22.5,0,,0.0,0
67.158,22.43,0,,0.0,0
67.469,22.27,0,,0.0,0
67.782,22.25,0,,0.0,0
68.094,22.25,0,,0.0,0
68.407,22.27,0,,0.0,0
68.72,22.25,0,,0.0,0
69.031,22.22,0,,0.0,0
69.342,22.35,0,,0.0,0
69.656,22.17,0,,0.0,0
69.98,22.17,0,,0.0,0
70.293,22.17,0,,0.0,0
70.601,22.12,0,,0.0,0
70.914,22.33,0,,0.0,0
71.228,22.35,0,,0.0,0
71.538,22.37,0,,0.0,0
71.85,22.22,0,,0.0,0
72.16,22.1,0,,0.0,0
72.471,22.08,0,,0.0,0
72.783,22.03,0,,0.0,0
73.095,22.08,0,,0.0,0
73.42,22.32,0,,0.0,0
73.733,22.35,0,,0.0,0
74.044,22.42,0,,0.0,0
74.044,22.43,0,,0.0,0
74.355,22.23,0,,0.0,0
74.666,22.3,0,,0.0,0
74.98,22.27,0,,0.0,0
75.294,22.27,0,,0.0,0
75.607,22.32,0,,0.0,0
75.919,22.17,0,,0.0,0
76.231,22.22,0,,0.0,0
76.541,22.23,0,,0.0,0
76.852,22.13,0,,0.0,0
77.166,22.25,0,,0.0,0
77.478,22.27,0,,0.0,0
77.792,22.23,0,,0.0,0
78.104,22.28,0,,0.0,0
78.414,22.2,0,,0.0,0
