Tiempo,Temperatura (°C),Potencia Luz (%),Potencia Luz Aplicada (%),Velocidad Ventilador (RPM),Potencia Ventilador (%)
0.15,21.57,0,,0.0,0
0.465,21.6,0,,0.0,0
0.776,21.68,0,,0.0,0
1.089,21.77,0,,0.0,0
1.402,21.73,0,,0.0,0
1.717,21.78,0,,0.0,0
2.03,21.75,0,,0.0,0
2.343,21.75,0,,0.0,0
2.655,21.78,0,,0.0,0
2.968,21.72,0,,0.0,0
3.284,21.72,0,,0.0,0
3.613,21.58,0,,0.0,0
3.614,21.67,0,,0.0,0
3.924,21.63,0,,0.0,0
4.251,21.57,0,,0.0,0
4.563,21.47,0,,0.0,0
4.875,21.47,0,,0.0,0
5.188,21.55,0,,0.0,0
5.503,21.53,0,,0.0,0
5.817,21.75,0,,0.0,0
6.13,21.8,0,,0.0,0
6.44,21.85,0,,0.0,0
6.767,22.03,0,,0.0,0
7.08,21.93,0,,0.0,0
7.391,21.95,0,,0.0,0
7.705,21.77,0,,0.0,0
8.032,21.73,0,,0.0,0
8.344,21.8,0,,0.0,0
8.656,21.85,0,,0.0,0
8.971,21.8,0,,0.0,0
9.283,21.98,0,,0.0,0
9.597,22.03,0,,0.0,0
9.911,21.92,0,,0.0,0
10.225,21.9,0,,0.0,0
10.54,21.83,0,,0.0,0
10.541,21.8,0,,0.0,0
10.855,22.02,0,,0.0,0
11.167,22.0,0,,0.0,0
11.478,21.98,0,,0.0,0
11.789,22.07,0,,0.0,0
12.103,21.8,0,,0.0,0
12.417,21.92,0,,0.0,0
12.731,22.07,0,,0.0,0
13.042,21.93,0,,0.0,0
13.356,21.87,0,,0.0,0
13.67,21.8,0,,0.0,0
13.985,21.78,0,,0.0,0
14.301,21.83,0,,0.0,0
14.615,21.85,0,,0.0,0
14.931,21.87,0,,0.0,0
15.245,21.87,0,,0.0,0
15.559,21.93,0,,0.0,0
15.874,21.97,0,,0.0,0
16.189,21.7,0,,0.0,0
16.504,21.73,0,,0.0,0
16.818,21.73,0,,0.0,0
17.132,21.68,0,,0.0,0
17.446,21.92,0,,0.0,0
17.763,21.93,0,,0.0,0
17.764,21.87,0,,0.0,0
18.078,22.05,0,,0.0,0
18.392,22.13,0,,0.0,0
18.707,22.18,0,,0.0,0
19.023,22.33,0,,0.0,0
19.338,22.22,0,,0.0,0
19.651,22.1,0,,0.0,0
19.965,21.98,0,,0.0,0
20.279,21.87,0,,0.0,0
20.58,21.92,0,,0.0,0
20.892,21.8,0,,0.0,0
21.205,21.77,0,,0.0,0
21.518,21.73,0,,0.0,0
21.833,21.77,0,,0.0,0
22.147,21.82,0,,0.0,0
22.458,21.83,0,,0.0,0
22.767,21.92,0,,0.0,0
23.083,21.8,0,,0.0,0
23.395,21.68,0,,0.0,0
23.709,21.62,0,,0.0,0
24.025,21.62,0,,0.0,0
24.34,21.8,0,,0.0,0
24.655,21.97,0,,0.0,0
24.969,21.87,0,,0.0,0
25.27,21.85,0,,0.0,0
25.586,21.77,0,,0.0,0
25.9,21.67,0,,0.0,0
25.901,21.97,0,,0.0,0
26.216,22.03,0,,0.0,0
26.529,22.1,0,,0.0,0
26.841,22.18,0,,0.0,0
27.156,22.08,0,,0.0,0
27.468,22.03,0,,0.0,0
27.782,21.82,0,,0.0,0
28.095,21.78,0,,0.0,0
28.41,21.83,0,,0.0,0
28.736,21.85,0,,0.0,0
29.038,22.07,0,,0.0,0
29.355,22.08,0,,0.0,0
29.67,22.18,0,,0.0,0
29.976,22.12,0,,0.0,0
30.283,21.98,0,,0.0,0
30.598,22.0,0,,0.0,0
30.924,21.87,0,,0.0,0
31.252,21.83,0,,0.0,0
31.563,21.9,0,,0.0,0
31.872,21.83,0,,0.0,0
32.186,21.87,0,,0.0,0
32.497,21.85,0,,0.0,0
32.81,21.93,0,,0.0,0
33.122,22.08,0,,0.0,0
33.122,22.1,0,,0.0,0
33.438,22.17,0,,0.0,0
33.738,22.0,0,,0.0,0
34.055,22.17,0,,0.0,0
34.37,22.13,0,,0.0,0
34.68,22.1,0,,0.0,0
34.991,22.17,0,,0.0,0
35.302,22.12,0,,0.0,0
35.614,22.08,0,,0.0,0
35.939,21.87,0,,0.0,0
36.252,21.88,0,,0.0,0
36.578,21.77,0,,0.0,0
36.892,21.78,0,,0.0,0
37.22,21.88,0,,0.0,0
37.532,21.82,0,,0.0,0
37.831,21.85,0,,0.0,0
38.157,21.67,0,,0.0,0
38.469,21.52,0,,0.0,0
38.781,21.7,0,,0.0,0
39.093,21.65,0,,0.0,0
39.405,21.9,0,,0.0,0
39.717,22.2,0,,0.0,0
40.029,22.07,0,,0.0,0
40.339,22.02,0,,0.0,0
40.652,21.95,0,,0.0,0
40.653,21.78,0,,0.0,0
40.964,21.73,0,,0.0,0
41.277,21.7,0,,0.0,0
41.588,22.13,0,,0.0,0
41.902,22.15,0,,0.0,0
42.215,22.25,0,,0.0,0
42.527,22.23,0,,0.0,0
42.838,21.87,0,,0.0,0
43.148,21.8,0,,0.0,0
43.462,21.82,0,,0.0,0
43.773,21.83,0,,0.0,0
44.084,21.9,0,,0.0,0
44.397,21.97,0,,0.0,0
44.708,21.98,0,,0.0,0
45.022,21.95,0,,0.0,0
45.334,22.0,0,,0.0,0
45.645,22.05,0,,0.0,0
45.956,21.97,0,,0.0,0
